Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Compare-at price,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,SEO title,SEO description,Collection
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590219_c2ced42f-7245-4763-be5c-32c39e37669e.jpg?v=1788382943,2,Avocado Keychain Crochet Pattern PDF – photo 2,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590219_38536156-27ee-4967-bd98-0ffea0c2503d.jpg?v=1788382943,3,Avocado Keychain Crochet Pattern PDF – photo 3,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590219_232b075c-8a1a-4c2f-a599-f93a2df81fe7.jpg?v=1788382943,4,Avocado Keychain Crochet Pattern PDF – photo 4,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590244_49e4c1db-04c7-4e3d-81ff-c7ead541d1d1.jpg?v=1788382943,5,Avocado Keychain Crochet Pattern PDF – photo 5,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590244.jpg?v=1788382943,6,Avocado Keychain Crochet Pattern PDF – photo 6,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590244_a1054d1a-0033-4310-8461-cde4784a0cea.jpg?v=1788382943,7,Avocado Keychain Crochet Pattern PDF – photo 7,,,
,avocado-keychain-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590244_7823f37a-846a-435e-bfe8-c55f8b976ac1.jpg?v=1788382943,8,Avocado Keychain Crochet Pattern PDF – photo 8,,,
Charming Gnome Crochet Pattern PDF,charming-gnome-crochet-pattern-pdf,"<p>Create a charming crochet gnome with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Crochet-Pattern,Digital-PDF,Dolls-Characters",true,active,,Title,Default Title,6.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584173.jpg?v=1788382942,1,Charming Gnome Crochet Pattern PDF,Charming Gnome Crochet Pattern PDF,"Create a charming crochet gnome with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item, yarn, …",Dolls & Characters Crochet Patterns
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584173_ccc141db-f325-4821-a4d0-ccc82e2e827b.jpg?v=1788382942,2,Charming Gnome Crochet Pattern PDF – photo 2,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584174.jpg?v=1788382942,3,Charming Gnome Crochet Pattern PDF – photo 3,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584175_e4066f50-57ca-4466-96d2-6ba19a93385e.jpg?v=1788382942,4,Charming Gnome Crochet Pattern PDF – photo 4,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584175_66442fc0-2d02-4f08-8c78-d95852184963.jpg?v=1788382943,5,Charming Gnome Crochet Pattern PDF – photo 5,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584175_96f019bf-6c58-45bc-91b6-b4774b194c8a.jpg?v=1788382942,6,Charming Gnome Crochet Pattern PDF – photo 6,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584175.jpg?v=1788382942,7,Charming Gnome Crochet Pattern PDF – photo 7,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584175_0e0f0356-f400-4696-85a7-93c470f53e4c.jpg?v=1788382942,8,Charming Gnome Crochet Pattern PDF – photo 8,,,
,charming-gnome-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1748584172.jpg?v=1788382942,9,Charming Gnome Crochet Pattern PDF – photo 9,,,
Colourful Floral Bag Crochet Pattern PDF,colourful-floral-bag-crochet-pattern-pdf,"<p>Create a colourful floral crochet bag with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Bags-Accessories,Crochet-Pattern,Digital-PDF",true,active,,Title,Default Title,8.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750388776.jpg?v=1788382936,1,Colourful Floral Bag Crochet Pattern PDF,Colourful Floral Bag Crochet Pattern PDF,"Create a colourful floral crochet bag with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item, …",Bags & Accessories Crochet Patterns
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750388776_5781351f-970b-4811-a66a-9db3975a34ce.jpg?v=1788382936,2,Colourful Floral Bag Crochet Pattern PDF – photo 2,,,
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750388776_055470de-8db6-4413-8f6f-54755d4f1027.jpg?v=1788382937,3,Colourful Floral Bag Crochet Pattern PDF – photo 3,,,
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750410302_7b99e038-3f48-4c2a-acd5-e4477200f2ae.jpg?v=1788382936,4,Colourful Floral Bag Crochet Pattern PDF – photo 4,,,
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750410298_f30b149b-ab28-4716-b60e-00e2c0d0b4a3.jpg?v=1788382936,5,Colourful Floral Bag Crochet Pattern PDF – photo 5,,,
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750388776_7abccbe7-8e95-4f54-bcc5-6a8c8508e511.jpg?v=1788382936,6,Colourful Floral Bag Crochet Pattern PDF – photo 6,,,
,colourful-floral-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750388776_0a239b99-d052-408a-9860-a2e6ababa9c7.jpg?v=1788382936,7,Colourful Floral Bag Crochet Pattern PDF – photo 7,,,
Creative Coasters Crochet Pattern PDF,creative-coasters-crochet-pattern-pdf,"<p>Create a practical set of creative crochet coasters with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Crochet-Pattern,Digital-PDF,Home-Decor",true,active,,Title,Default Title,7.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746696042_8905fdf1-bafb-4f64-bf2a-0c3380e206cd.jpg?v=1788382939,1,Creative Coasters Crochet Pattern PDF,Creative Coasters Crochet Pattern PDF,Create a practical set of creative crochet coasters with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No f…,Home Decor Crochet Patterns
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694814_413d0833-996b-4f77-a948-8966cd3ef9a7.jpg?v=1788382940,2,Creative Coasters Crochet Pattern PDF – photo 2,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746696042_5c09f331-719c-4504-ad8c-a0dee1a68b46.jpg?v=1788382940,3,Creative Coasters Crochet Pattern PDF – photo 3,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746696042_bf6b054f-7391-40db-8c04-fbb4b412a546.jpg?v=1788382940,4,Creative Coasters Crochet Pattern PDF – photo 4,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694817_1aa6a207-d4b0-4fac-ad9b-2a20d5085ad5.jpg?v=1788382940,5,Creative Coasters Crochet Pattern PDF – photo 5,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694817_aca86a43-435f-4934-ac9a-db1c0ea4d625.jpg?v=1788382940,6,Creative Coasters Crochet Pattern PDF – photo 6,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694817_c778460a-3d1a-413e-9f0a-6fdd1a1129ef.jpg?v=1788382940,7,Creative Coasters Crochet Pattern PDF – photo 7,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694815_c1efa12d-3fe6-489e-8d9d-75803d27f6dc.jpg?v=1788382939,8,Creative Coasters Crochet Pattern PDF – photo 8,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694814_6d628dc4-52db-4690-98e4-0bb7e8e899a3.jpg?v=1788382940,9,Creative Coasters Crochet Pattern PDF – photo 9,,,
,creative-coasters-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694813_6b93e528-9cab-48a6-9c09-438d1ddda0cf.webp?v=1788382940,10,Creative Coasters Crochet Pattern PDF – photo 10,,,
Gypsophila Flower Pot Crochet Pattern PDF,gypsophila-flower-pot-crochet-pattern-pdf,"<p>Create a delicate gypsophila flower pot with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Crochet-Pattern,Digital-PDF,Flowers-Plants",true,active,,Title,Default Title,4.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1769066644.jpg?v=1788382937,1,Gypsophila Flower Pot Crochet Pattern PDF,Gypsophila Flower Pot Crochet Pattern PDF,Create a delicate gypsophila flower pot with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item…,Flowers & Plants Crochet Patterns
,gypsophila-flower-pot-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1769066556.jpg?v=1788382937,2,Gypsophila Flower Pot Crochet Pattern PDF – photo 2,,,
,gypsophila-flower-pot-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1769066556_d56563d4-a31d-4024-8138-c2b0bb3d7110.jpg?v=1788382937,3,Gypsophila Flower Pot Crochet Pattern PDF – photo 3,,,
,gypsophila-flower-pot-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1769066556_975df46c-8768-4c99-85f5-540a25e3b0bb.jpg?v=1788382937,4,Gypsophila Flower Pot Crochet Pattern PDF – photo 4,,,
,gypsophila-flower-pot-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1769066557.jpg?v=1788382937,5,Gypsophila Flower Pot Crochet Pattern PDF – photo 5,,,
Magic Snowman Crochet Pattern PDF,magic-snowman-crochet-pattern-pdf,"<p>Create a festive magic snowman ornament with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Crochet-Pattern,Digital-PDF,Seasonal-Holiday",true,active,,Title,Default Title,6.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_0823dcd1-a8c5-42a2-929d-7988d0cc4cc7.jpg?v=1788382941,1,Magic Snowman Crochet Pattern PDF,Magic Snowman Crochet Pattern PDF,Create a festive magic snowman ornament with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item…,Seasonal & Holiday Crochet Patterns
,magic-snowman-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_e58ac392-4dd7-4190-b6ca-da8790926594.jpg?v=1788382941,2,Magic Snowman Crochet Pattern PDF – photo 2,,,
,magic-snowman-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_2e588479-940e-46b6-9b2c-4353be6adf9a.jpg?v=1788382941,3,Magic Snowman Crochet Pattern PDF – photo 3,,,
,magic-snowman-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_a6fccd86-607d-4013-b363-7b6fb177008c.jpg?v=1788382941,4,Magic Snowman Crochet Pattern PDF – photo 4,,,
,magic-snowman-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_9363efa9-9ee1-40fc-9aa9-638cbfe404a6.jpg?v=1788382941,5,Magic Snowman Crochet Pattern PDF – photo 5,,,
,magic-snowman-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1752653287_a6089a87-ac9a-467b-97f0-33d59fc33210.jpg?v=1788382941,6,Magic Snowman Crochet Pattern PDF – photo 6,,,
Sunflower Bag Crochet Pattern PDF,sunflower-bag-crochet-pattern-pdf,"<p>Create a cheerful sunflower shoulder bag with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Bags-Accessories,Crochet-Pattern,Digital-PDF",true,active,,Title,Default Title,8.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931364_ec0c1252-ed12-407f-b856-3791e823cdad.jpg?v=1788382935,1,Sunflower Bag Crochet Pattern PDF,Sunflower Bag Crochet Pattern PDF,Create a cheerful sunflower shoulder bag with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished ite…,Bags & Accessories Crochet Patterns
,sunflower-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931364_3afbff93-1d35-42b1-bcb7-ab792515ad65.jpg?v=1788382935,2,Sunflower Bag Crochet Pattern PDF – photo 2,,,
,sunflower-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931364_2b5e3c77-004b-4574-a36b-b66c53f7fdc6.jpg?v=1788382935,3,Sunflower Bag Crochet Pattern PDF – photo 3,,,
,sunflower-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931368.jpg?v=1788382935,4,Sunflower Bag Crochet Pattern PDF – photo 4,,,
,sunflower-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931369_d556ec5f-6804-41b0-90e4-21e6d672db9e.jpg?v=1788382935,5,Sunflower Bag Crochet Pattern PDF – photo 5,,,
,sunflower-bag-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1750931370_247dea24-f07f-4b43-9364-223402287e84.jpg?v=1788382935,6,Sunflower Bag Crochet Pattern PDF – photo 6,,,
Sunflowers Crochet Pattern PDF,sunflowers-crochet-pattern-pdf,"<p>Create a bright bouquet of crocheted sunflowers with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Crochet-Pattern,Digital-PDF,Flowers-Plants",true,active,,Title,Default Title,6.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746695141.jpg?v=1788382939,1,Sunflowers Crochet Pattern PDF,Sunflowers Crochet Pattern PDF,Create a bright bouquet of crocheted sunflowers with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finis…,Flowers & Plants Crochet Patterns
,sunflowers-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694228.jpg?v=1788382938,2,Sunflowers Crochet Pattern PDF – photo 2,,,
,sunflowers-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694621.jpg?v=1788382938,3,Sunflowers Crochet Pattern PDF – photo 3,,,
,sunflowers-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746693538_e7b4166b-1250-46ae-9350-1c31aed38e84.jpg?v=1788382938,4,Sunflowers Crochet Pattern PDF – photo 4,,,
,sunflowers-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746694228_4521acfd-39b5-4eaa-9e6b-b3d99e7ec3ba.jpg?v=1788382939,5,Sunflowers Crochet Pattern PDF – photo 5,,,
,sunflowers-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1746693538.jpg?v=1788382938,6,Sunflowers Crochet Pattern PDF – photo 6,,,
